,author,date,likes,views
4945,Paul Romer,July 2009,21K,721K
4946,Michael Pritchard,July 2009,149K,4.9M
4947,Willard Wigan,July 2009,23K,797K
4948,Elaine Morgan,July 2009,43K,1.4M
4949,Golan Levin,February 2009,25K,839K
4950,Alain de Botton,July 2009,258K,8.6M
4951,Gordon Brown,July 2009,36K,1.2M
4952,Nina Jablonski,February 2009,42K,1.4M
4953,Jim Fallon,February 2009,95K,3.1M
4954,Daniel Kraft,February 2009,16K,547K
4955,Olafur Eliasson,February 2009,21K,720K
4956,Stewart Brand,June 2009,24K,832K
4957,Kary Mullis,February 2009,24K,821K
4958,Sophal Ear,February 2009,22K,750K
4959,Tom Wujec,February 2009,38K,1.2M
4960,Eames Demetrios,February 2007,24K,822K
4961,Daniel Libeskind,February 2009,33K,1.1M
4962,Gever Tulley,February 2009,40K,1.3M
4963,Arthur Benjamin,February 2009,82K,2.7M
4964,Ray Zahab,February 2009,11K,382K
4965,Katherine Fulton,March 2007,15K,505K
4966,Paul Collier,June 2009,14K,481K
4967,Philip Zimbardo,February 2009,56K,1.8M
4968,Qi Zhang,March 2009,27K,905K
4969,Catherine Mohr,February 2009,26K,895K
4970,Diane Benscoter,February 2009,39K,1.3M
4971,Clay Shirky,June 2009,60K,2M
4972,Jane Poynter,March 2009,36K,1.2M
4973,Richard St. John,February 2009,138K,4.6M
4974,Robert Full,February 2009,22K,740K
4975,Nancy Etcoff,February 2004,65K,2.1M
4976,John La Grou,February 2009,20K,671K
4977,Kevin Surace,February 2009,12K,411K
4978,Pete Alcorn,February 2009,17K,581K
4979,Felix Dennis,February 2004,10K,336K
4980,Yann Arthus-Bertrand,February 2009,27K,907K
4981,Ray Kurzweil,February 2009,31K,1M
4982,Liz Coleman,February 2009,20K,691K
4983,Kaki King,March 2008,36K,1.2M
4984,Jonathan Drori,February 2009,20K,676K
4985,Jay Walker,February 2009,151K,5M
4986,Michelle Obama,April 2009,41K,1.3M
4987,Joachim de Posada,February 2009,122K,4M
4988,Yves Béhar,February 2009,19K,642K
4989,Carolyn Porco,February 2009,33K,1.1M
4990,Mary Roach,February 2009,1.1M,37M
4991,Dan Ariely,December 2008,231K,7.7M
4992,Ray Anderson,February 2009,36K,1.2M
4993,Naturally 7,February 2009,58K,1.9M
4994,Nandan Nilekani,February 2009,32K,1M
4995,Hans Rosling,February 2009,37K,1.2M
4996,Eric Lewis,February 2009,13K,447K
4997,Seth Godin,February 2009,75K,2.5M
4998,Al Gore,February 2009,30K,1M
4999,Louise Fresco,February 2009,35K,1.1M
5000,Tom Shannon,February 2003,40K,1.3M
5001,Mae Jemison,February 2002,28K,964K
5002,Sean Gourley,February 2009,31K,1M
5003,Brian Cox,February 2009,45K,1.5M
5004,Laurie Garrett,February 2007,24K,828K
5005,Sarah Jones,February 2009,77K,2.5M
5006,Michael Merzenich,February 2004,47K,1.5M
5007,Alex Tabarrok,February 2009,28K,934K
5008,Ben Katchor,February 2002,10K,337K
5009,Nate Silver,February 2009,15K,530K
5010,Erik Hersman,February 2009,14K,494K
5011,Niels Diffrient,February 2002,18K,627K
5012,Margaret Wertheim,February 2009,46K,1.5M
5013,Matthew Childs,February 2009,26K,872K
5014,Tim Ferriss,December 2008,122K,4M
5015,JoAnn Kuchera-Morin,February 2009,22K,755K
5016,Gregory Stock,February 2003,16K,562K
5017,Shai Agassi,February 2009,40K,1.3M
5018,Renny Gleeson,February 2009,42K,1.4M
5019,Emily Levine,February 2002,80K,2.6M
5020,Bonnie Bassler,February 2009,88K,2.9M
5021,Bruce Bueno de Mesquita,February 2009,34K,1.1M
5022,Nathaniel Kahn,February 2002,12K,411K
5023,P.W. Singer,February 2009,53K,1.7M
5024,Christopher C. Deam,February 2002,10K,346K
5025,Ueli Gegenschatz,February 2009,57K,1.9M
5026,Jacek Utko,February 2009,35K,1.1M
5027,C.K. Williams,February 2001,9.1K,303K
5028,Nathan Wolfe,February 2009,54K,1.8M
5029,John Wooden,February 2001,210K,7M
5030,David Pogue,December 2008,28K,963K
5031,Jacqueline Novogratz,February 2009,44K,1.4M
5032,Saul Griffith,February 2009,22K,751K
5033,Kamal Meattle,February 2009,118K,3.9M
5034,Bruce McCall,May 2008,15K,510K
5035,Adam Savage,December 2008,59K,1.9M
5036,Dan Ariely,February 2009,115K,3.8M
5037,Dan Dennett,February 2009,116K,3.8M
5038,Tim Berners-Lee,February 2009,53K,1.7M
5039,Stuart Brown,May 2008,69K,2.3M
5040,Aimee Mullins,February 2009,142K,4.7M
5041,Pattie Maes + Pranav Mistry,February 2009,343K,11M
5042,Don Norman,February 2003,64K,2.1M
5043,Eric Lewis,February 2009,25K,845K
5044,Mike Rowe,December 2008,293K,9.7M
5045,Nalini Nadkarni,February 2009,16K,561K
5046,Willie Smits,February 2009,26K,868K
5047,Brenda Laurel,February 1998,14K,483K
5048,Evan Williams,February 2009,39K,1.3M
5049,Miru Kim,December 2008,27K,921K
5050,Richard Pyle,February 2004,13K,463K
5051,Charles Moore,February 2009,43K,1.4M
5052,Ed Ulbrich,February 2009,33K,1.1M
5053,Jill Tarter,February 2009,44K,1.4M
5054,Sylvia Earle,February 2009,101K,3.3M
5055,Gustavo Dudamel and the Teresa Carreño Youth Orchestra,February 2009,87K,2.9M
5056,José Antonio Abreu,February 2009,34K,1.1M
5057,Juan Enriquez,February 2009,109K,3.6M
5058,Barry Schwartz,February 2009,134K,4.4M
5059,David Merrill,February 2009,58K,1.9M
5060,Milton Glaser,February 1998,14K,488K
5061,Elizabeth Gilbert,February 2009,619K,20M
5062,Bill Gates,February 2009,156K,5.2M
5063,Bill Gross,February 2003,22K,744K
5064,Natalie MacMaster,February 2003,47K,1.5M
5065,Joe DeRisi,February 2006,15K,509K
5066,Aimee Mullins,February 1998,41K,1.3M
5067,Peter Ward,February 2008,35K,1.1M
5068,Woody Norris,February 2004,42K,1.4M
5069,Sherwin Nuland,February 2003,17K,596K
5070,Barry Schuler,June 2008,14K,469K
5071,Jamais Cascio,February 2006,7.4K,249K
5072,David Carson,February 2003,29K,977K
5073,Paula Scher,May 2008,20K,682K
5074,Joseph Pine,February 2004,39K,1.3M
5075,Peter Reinhart,July 2008,30K,1M
5076,Scott McCloud,February 2005,38K,1.2M
5077,Rob Forbes,February 2006,13K,438K
5078,Greg Lynn,February 2005,13K,451K
5079,Paul Moller,February 2004,14K,492K
5080,Paul Sereno,February 2005,26K,894K
5081,John Maeda,May 2008,9.2K,308K
5082,Kary Mullis,February 2002,20K,691K
5083,Jennifer 8. Lee,July 2008,50K,1.6M
5084,Nicholas Negroponte,December 2008,12K,400K
5085,Steven Strogatz,February 2004,24K,814K
5086,Penelope Boston,February 2006,21K,718K
5087,Benjamin Wallace,July 2008,69K,2.3M
5088,Dan Gilbert,July 2005,172K,5.7M
5089,Jay Walker,February 2008,16K,559K
5090,Dennis vanEngelsdorp,July 2008,23K,797K
5091,Eva Zeisel,February 2001,15K,527K
5092,David Holt,March 2004,18K,627K
5093,Nick Sears,March 2007,16K,539K
5094,Larry Burns,February 2005,20K,668K
5095,Philip Rosedale,May 2008,18K,618K
5096,Richard Preston,February 2008,23K,796K
5097,Gregory Petsko,February 2008,30K,1M
5098,Andy Hobsbawm,February 2008,15K,507K
5099,Dan Barber,July 2008,47K,1.5M
5100,Bill Joy,February 2006,17K,585K
5101,George Smoot,May 2008,67K,2.2M
5102,Franco Sacchi,June 2007,8.4K,280K
5103,Isaac Mizrahi,February 2008,35K,1.1M
5104,Stewart Brand,February 2004,8.8K,294K
5105,Ursus Wehrli,February 2006,47K,1.5M
5106,Charles Elachi,May 2008,19K,655K
5107,Samantha Power,February 2008,18K,605K
5108,Lee Smolin,February 2003,9.6K,322K
5109,Luca Turin,February 2005,20K,671K
5110,Tim Brown,May 2008,71K,2.3M
5111,John Francis,February 2008,32K,1M
5112,James Surowiecki,February 2005,16K,538K
