,author,date,likes,views
0,Ozawa Bineshi Albert,December 2021,12K,404K
1,Sydney Iaukea,February 2022,6.4K,214K
2,Martin Reeves,September 2021,12K,412K
3,James K. Thornton,October 2021,12K,427K
4,Mahendra Singhi,October 2021,72,2.4K
5,Rosamund Adoo-Kissi-Debrah,October 2021,12K,422K
6,Iseult Gillespie,February 2022,12K,412K
7,Gay Gordon-Byrne,August 2021,13K,455K
8,Erin Meezan,February 2022,1.9K,66K
9,Dwan Reece,March 2019,17K,584K
10,Ian Kerner,August 2021,2.6K,87K
11,Richard Browning,February 2022,6.4K,213K
12,Daniel H. Pink,January 2022,18K,622K
13,Lucas Joppa,October 2021,15K,526K
14, Belle and Sebastian,October 2021,690,23K
15,Mounia Akl,December 2021,18K,628K
16,Yana Buhrer Tavanier,February 2022,13K,459K
17,Susan Ruffo,October 2021,15K,522K
18,Tim Dunn,February 2022,2.9K,96K
19, Let It Happen,October 2021,135,4.5K
20,Dave Matthews,October 2021,49,1.6K
21,Zoë Karl-Waithaka,September 2021,20K,667K
22,Dan Kwartler,February 2022,13K,456K
23,Dan Jørgensen,October 2021,18K,632K
24,Lei Li,August 2021,2.9K,97K
25,Nick Turner and Whitney Pennington Rodgers,November 2021,18K,609K
26,Elizabeth Cox,February 2022,10K,363K
27, Kaz,December 2021,19K,649K
28,Katie McGinty,January 2022,4K,134K
29,Rachel Kyte,October 2021,18K,613K
30,Katie Paterson,December 2021,24K,817K
31,Emily Zobel Marshall,January 2022,12K,411K
32,Deval Patrick,July 2021,21K,700K
33,Rha Goddess and Deepa Purushothaman,December 2021,20K,678K
34,Zac Goldsmith,October 2021,913,30K
35,Thomas W. Cronin,January 2022,22K,743K
36,Gala Marija Vrbanic,December 2021,20K,669K
37,Li-Huei Tsai,August 2021,23K,766K
38,Emily Pilloton-Lam,December 2021,23K,789K
39,Dustin Burke,September 2021,24K,800K
40,Marie Brodsky,January 2022,18K,601K
41,Gabrielle Walker,October 2021,21K,732K
42,Reuben Jonathan Miller,November 2021,22K,751K
43,Iseult Gillespie,January 2022,29K,998K
44,Carlos M. Duarte,August 2021,23K,786K
45,Candace Parker,December 2021,32K,1M
46,Jenny Scheinman with Nels Cline and Todd Sickafoose,August 2021,606,20K
47,Emma Bryce,January 2022,70K,2.3M
48,Jennifer Aaker and Naomi Bagdonas,August 2021,32K,1M
49,American Family Insurance,January 2022,312,10K
50,Sam Hester,June 2021,26K,880K
51,Ann-Helén Bay,January 2022,47K,1.5M
52,Charlie Puth,October 2021,580,19K
53,Bjørn Otto Sverdrup,October 2021,24K,825K
54,Pardis Parker,August 2021,2.7K,90K
55,Axel Reinaud,September 2021,26K,888K
56,Brittany K. Barnett,November 2021,25K,839K
57,Liu Thai Ker,March 2021,28K,951K
58,Iseult Gillespie,January 2022,22K,761K
59,Warren Valdmanis,September 2021,29K,992K
60,Sophia Kianni,October 2021,25K,861K
61,American Family Insurance,January 2022,342,11K
62,Noah Charney,January 2022,33K,1.1M
63,Anna Malaika Tubbs,December 2021,25K,864K
64,Priscilla Chomba-Kinywa,April 2021,33K,1.1M
65, Countdown,October 2021,332,11K
66,Alex Gendler,December 2021,21K,724K
67,Matt Walker,December 2021,8.8K,295K
68,Doug MacKay,December 2021,40K,1.3M
69,Jamil Zaki,August 2021,33K,1.1M
70,Halla Tómasdóttir,December 2021,29K,969K
71,Gowri Shankar,May 2021,30K,1M
72,Virginia Smith,March 2021,29K,986K
73,Jim Hagemann Snabe,October 2021,25K,837K
74,Ned Blackhawk and Jeffrey D. Means,December 2021,15K,527K
75,Karen Lellouche Tordjman,September 2021,32K,1M
76,Tom Osborn,August 2021,32K,1M
77,Matt Walker,December 2021,9.3K,311K
78,Steve Rothstein,December 2021,37K,1.2M
79,Vishaan Chakrabarti,October 2021,30K,1M
80, Joan As Police Woman,August 2021,115,3.8K
81,Jennifer B. Nuzzo,December 2021,33K,1.1M
82,Elizabeth Zion,December 2021,31K,1M
83,Makhtoum Abdalla,December 2021,32K,1M
84,Jane Velkovski,December 2021,31K,1M
85,Peachy Liv,December 2021,29K,981K
86,Nkosilathi Nyathi,December 2021,6K,200K
87,Valerie June,October 2021,76,2.5K
88,Sandrine Dixson-Declève,October 2021,147,4.9K
89,Adrian K. Haugabrook,August 2021,34K,1.1M
90,Adam Clulow,December 2021,19K,635K
91,Eric Hinterman,May 2021,32K,1M
92,Francisca Mutapi,December 2021,120,4K
93,Kathryn Kolbert,December 2021,32K,1M
94,Nyra Jordan,November 2021,33K,1.1M
95,Matt Walker,December 2021,9.4K,315K
96,Fabio Pacucci,December 2021,21K,714K
97,Maria Van Kerkhove,December 2021,36K,1.2M
98,Sister True Dedication,October 2021,38K,1.2M
99,Dawn Lippert,October 2021,32K,1M
100,Shabana Basij-Rasikh,December 2021,44K,1.4M
101,Christina Costa,March 2021,44K,1.4M
102,Sheila Marie Orfano and Densho,December 2021,14K,475K
103,James Rhee,September 2021,41K,1.3M
104,Matt Walker,December 2021,12K,422K
105,Madhavi Venkatesan,November 2021,9.4K,315K
106,Mona Chalabi,November 2021,8.3K,277K
107,Shweta Narayan,October 2021,36K,1.2M
108,Matt Walker,November 2021,10K,357K
109,"Xiye Bastida, Shiv Soin and Latif Nasser",October 2021,7.8K,260K
110,"Al Roker, Al Gore, David Biello and Latif Nasser",October 2021,9.9K,331K
111,Luka Seamus Wright,November 2021,16K,543K
112,Nemonte Nenquimo,October 2021,32K,1M
113,Mona Chalabi,November 2021,7.1K,237K
114,John Doerr and Ryan Panchadsaram,October 2021,36K,1.2M
115,Joshua Chu-Tan,August 2019,36K,1.2M
116,Alex Rosenthal,November 2021,13K,441K
117,Rainn Wilson,October 2021,214,7.1K
118,Aicha Evans,August 2021,40K,1.3M
119,Lucas C. Majure,November 2021,13K,463K
120,Larry Irvin,September 2021,37K,1.2M
121,Jack Dangermond,October 2021,36K,1.2M
122,Matt Walker,November 2021,14K,485K
123,"Tyrone Davis, Jr.",August 2021,186,6.2K
124, Kimberose,September 2021,91,3K
125,Jodie Houlston-Lau,November 2021,10K,340K
126,Nili Gilbert,October 2021,37K,1.2M
127,Mona Chalabi,November 2021,6.8K,227K
128,Ruchi Sinha,November 2021,57K,1.9M
129,Gavin McCormick,October 2021,39K,1.3M
130,Jane Walsh,June 2021,39K,1.3M
131,Ilan Stavans,November 2021,25K,860K
132,Naima Penniman,October 2021,36K,1.2M
133,Children of Palau,October 2021,6.1K,205K
134,Derek Sarno,October 2021,32K,1M
135,Farwiza Farhan,October 2021,32K,1M
136,Enric Sala,October 2021,30K,1M
137,Chibeze Ezekiel,October 2021,6.6K,221K
138,Anil Seth,October 2021,47K,1.5M
139,Matt Walker,November 2021,13K,463K
140,Alayna Vaughan,November 2021,12K,406K
141,Nicola Sturgeon,October 2021,38K,1.2M
142,Mona Chalabi,November 2021,8.2K,276K
143,Josh Giegel,August 2021,39K,1.3M
144,Angela Garbes,November 2021,36K,1.2M
145,Bozoma Saint John,August 2021,42K,1.4M
146,Jeffrey A. Lockwood,November 2021,14K,475K
147,Richard Thompson Ford,September 2021,39K,1.3M
148,Nithya Ramanathan,August 2021,42K,1.4M
149,Matt Walker,November 2021,11K,368K
150,Al Gore,October 2021,47K,1.5M
151,Brian Christian,November 2021,14K,486K
152,Mona Chalabi,November 2021,10K,355K
153,Julissa Prado,November 2021,42K,1.4M
154,Countdown,October 2021,7.7K,256K
155,TED,October 2021,183K,6.1M
156,Countdown,October 2021,8K,269K
157,Coya Paz Brownrigg,May 2021,33K,1.1M
158,Amina J. Mohammed,October 2021,41K,1.3M
159,Ilissa Ocko,October 2021,46K,1.5M
160,Jeff Dean,August 2021,42K,1.4M
161,Iseult Gillespie,October 2021,45K,1.5M
162,Irma L. Olguin Jr.,August 2021,38K,1.2M
163,Trebor Scholz,August 2021,41K,1.3M
164,AKQA and Jung von Matt,October 2021,161,5.3K
165,Daniel Sperling and Gil Tal,October 2021,11K,367K
166,Hongqiao Liu,October 2021,39K,1.3M
167,Mona Chalabi,October 2021,4.6K,154K
168,Countdown Summit,October 2021,854,28K
169,Kai-Fu Lee and Chen Qiufan,September 2021,33K,1.1M
170,Kim Scott and Trier Bryant,October 2021,34K,1.1M
171,Debbie Lovich,September 2021,43K,1.4M
172,Tanya Berger-Wolf,March 2016,36K,1.2M
173,Helen Farr and Jon Adams,October 2021,12K,414K
174,Chris Bennett,August 2021,43K,1.4M
175,Mona Chalabi,October 2021,8.5K,286K
176,Solomon Goldstein-Rose,October 2021,42K,1.4M
177,James Tanton,October 2021,17K,578K
178,Isha Datar,August 2021,51K,1.7M
179,Mona Chalabi,October 2021,9.3K,310K
180,The Hartford,October 2021,3.9K,132K
181,Dan Kwartler,October 2021,86K,2.8M
182,Shu Matsuo Post,October 2021,34K,1.1M
183,TED Audio Collective,October 2021,32K,1M
184,Tzeporah Berman,October 2021,46K,1.5M
185,Countdown Summit,October 2021,1.8K,62K
186,Tanya Boucicaut,October 2021,9.3K,310K
187,Jenna C. Lester,August 2021,39K,1.3M
188,Hrishikesh Hirway,August 2021,51K,1.7M
189,Monica Araya,October 2021,41K,1.3M
190,Melati Wijsen,October 2021,45K,1.5M
191,Andrea Vilallonga,May 2017,50K,1.6M
192,Carol Farbotko and Ingrid Boas,October 2021,14K,498K
193,monday.com,October 2021,181,6K
194,Cindy Solomon,October 2021,46K,1.5M
195,Steven Johnson,August 2021,55K,1.8M
196,Geoff Emberling,October 2021,21K,732K
197,Charlotte Degot,September 2021,43K,1.4M
198,Mads Tang-Christensen,September 2021,52K,1.7M
199,Devin Shuman,October 2021,47K,1.5M
200,Kayvon Tehranian,August 2021,52K,1.7M
201,Amber Hikes,October 2021,52K,1.7M
202,Olivia Affuso,September 2021,44K,1.4M
203,Diane J. Rayor,September 2021,8.9K,298K
204, Lizzo,August 2021,52K,1.7M
205,Karoli Hindriks,August 2021,46K,1.5M
206,Rebecca Galemba,March 2021,47K,1.5M
207,Abdallah Ewis,September 2021,25K,842K
208,Ashley Whillans,September 2021,79K,2.6M
209,Nabiha Saklayen,August 2021,55K,1.8M
210,Alex Rosenthal,September 2021,22K,735K
211,Wendy MacNaughton,August 2021,62K,2M
212,Ryan Phelan,August 2021,47K,1.5M
213,Hanako Sawada,September 2021,34K,1.1M
214,Richard Wilkinson,September 2021,49K,1.6M
215,Liam Young,August 2021,50K,1.6M
216,Jamie C. Beard,August 2021,56K,1.8M
217,Kayla Mandel Sheets,September 2021,63K,2.1M
218,Alex Smith,August 2021,60K,2M
219,Nicole Maines,April 2016,48K,1.6M
220,Nancy N. Chen,September 2021,53K,1.7M
221,Zoe Pierrat,September 2021,17K,583K
222,Alicia Chong Rodriguez,August 2021,47K,1.5M
223,Katie Mack,July 2021,55K,1.8M
224,Martin Hilpert,September 2021,19K,655K
225,Stephanie Kelton,August 2021,53K,1.7M
226,Chen Qiufan,July 2021,54K,1.8M
227,Pekka Hämäläinen,September 2021,14K,474K
228,Adam Grant,August 2021,80K,2.6M
229,Susan Graham,August 2021,14K,480K
230,Sarah E. Tracy,September 2021,64K,2.1M
231,Climate Action Tracker,August 2021,12K,422K
232,Germán Santillán,August 2021,48K,1.6M
233,Soraya Field Fiorio,August 2021,15K,518K
234,Steven Sharp Nelson,September 2020,47K,1.5M
235,Freeman H. Shen,August 2021,48K,1.6M
236,Nigel Hughes,August 2021,13K,458K
237,Hélène Morlon and Anna Papadopoulou,August 2021,9.4K,313K
238,Elizabeth Cox,August 2021,19K,649K
239,Kaitlyn Sadtler and Elizabeth Wayne,August 2021,41K,1.3M
240,Dan Sayers,August 2021,8.2K,273K
241,Amir Nizar Zuabi,August 2021,50K,1.6M
242,Kevin J. Krizek,March 2021,46K,1.5M
243,Dan Finkel,August 2021,67K,2.2M
244,Ma Jun,August 2021,56K,1.8M
245,Jim Chuchu,July 2021,48K,1.6M
246,Clara Sousa-Silva,July 2021,55K,1.8M
247,James A. Smith,August 2021,23K,776K
248,Kathryn A. Whitehead,August 2021,55K,1.8M
249,Loretta J. Ross,August 2021,55K,1.8M
250,Christopher E. Gaw,August 2021,14K,482K
251,Uğur Şahin and Özlem Türeci,August 2021,63K,2.1M
252,Kim Stanley Robinson,July 2021,50K,1.6M
253,Jota Samper,September 2020,49K,1.6M
254,Jean-Baptiste P. Koehl,July 2021,12K,425K
255,Miracle Jones,April 2021,46K,1.5M
256,Gilad Bino,July 2021,21K,732K
257,Nigel Topping,July 2021,49K,1.6M
258,Armand D'Angour,September 2015,110K,3.6M
259,Andrew McDonald,July 2021,27K,920K
260,Emma Marris,June 2021,43K,1.4M
261,Molly Wright,July 2021,177K,5.9M
262,Marcus du Sautoy,July 2021,61K,2M
263,Sasha Sarago,November 2020,48K,1.6M
264,Alok Sharma,July 2021,48K,1.6M
265,Candis Watts Smith,February 2020,55K,1.8M
266,Jonathan Smith,July 2021,23K,781K
267,Claire Malone,February 2021,55K,1.8M
268,Lukas Rieppel,July 2021,30K,1M
269,Andrea Berchowitz,July 2021,48K,1.6M
270,Almudena Toral,May 2021,52K,1.7M
271,Georges Nzongola-Ntalaja,July 2021,33K,1.1M
272,Jen Gunter,July 2021,82K,2.7M
273,Jorge Mañes Rubio,May 2021,47K,1.5M
274,Stefan Al,July 2021,38K,1.2M
275,Sean Sherman,August 2020,58K,1.9M
276,Björn Ulvaeus,April 2021,53K,1.7M
277,Jen Gunter,July 2021,52K,1.7M
278,Robert Chang,July 2021,21K,722K
279,Laura Tenenbaum,May 2016,1.4K,47K
280,Zahra Al-Mahdi,May 2021,49K,1.6M
281,The TED Interview,July 2021,45K,1.5M
282,Anne Scherer,November 2020,54K,1.8M
283,Darien Satterfield,June 2021,8.6K,289K
284,Iseult Gillespie,June 2021,36K,1.2M
285,Kathy Hannun,May 2021,47K,1.5M
286,Clover Hogan,February 2021,55K,1.8M
287,Shravan S K,June 2021,101K,3.3M
288,Jen Gunter,June 2021,30K,1M
289,Aparna Hegde,May 2021,45K,1.5M
290,Luis Zambrano,June 2021,100K,3.3M
291,Sarah Rugheimer,May 2021,48K,1.6M
292,Haimanti Roy,June 2021,51K,1.7M
293,Robert A. Belle,June 2021,59K,1.9M
294,Khadijah Tribble,March 2019,48K,1.6M
295,Meg Jacobs,June 2021,10K,344K
296,Jen Gunter,June 2021,21K,711K
297,Itamar Mann,May 2021,45K,1.5M
298,David Kessler,May 2021,47K,1.5M
299,Francis de los Reyes,June 2021,86K,2.8M
300,Luvvie Ajayi Jones,May 2021,46K,1.5M
301,Rohan Pavuluri,May 2021,46K,1.5M
302,Luka Seamus Wright,June 2021,18K,630K
303,Crystal Rasmussen,February 2021,48K,1.6M
304,Feras Fayyad,May 2021,44K,1.4M
305,Sheila Marie Orfano,June 2021,36K,1.2M
306,Jen Gunter,June 2021,13K,444K
307,Brian Kateman,November 2014,22K,754K
308,Naomi Mwaura,May 2021,43K,1.4M
309,Susan M. Reverby,June 2021,11K,388K
310,Nina Westbrook,May 2021,44K,1.4M
311,Aaron Morris,May 2021,44K,1.4M
312,Mark Robinson,June 2021,22K,742K
313,Bianca Tylek,May 2021,40K,1.3M
314,Valerie Purdie-Greenaway,May 2021,43K,1.4M
315,Nina G. Jablonski,June 2021,138K,4.6M
316,Jen Gunter,June 2021,9.2K,309K
317,Meg Jay,May 2021,58K,1.9M
318,Jessica Kerr,December 2020,38K,1.2M
319,Soraya Field Fiorio,June 2021,79K,2.6M
320,Matthew Mazzotta,May 2021,37K,1.2M
321,Sophie Williams,February 2021,43K,1.4M
322,Naomi Shimada,May 2021,7.1K,237K
323,Dennis Shasha,May 2021,46K,1.5M
324,Jen Gunter,May 2021,41K,1.3M
325,Brittany Young,May 2021,40K,1.3M
326,Beth Ford,April 2021,39K,1.3M
327,Philip Renaud and Kenneth Kostel,May 2021,12K,410K
328,Khalil Ramadi,May 2021,36K,1.2M
329,Alex Gendler,May 2021,57K,1.9M
330,Katie Mack,May 2021,44K,1.4M
331,Emily Nagoski and Amelia Nagoski,April 2021,66K,2.2M
332,Gary Devore,May 2021,40K,1.3M
333,Jen Gunter,May 2021,34K,1.1M
334,Dan Goods,December 2020,38K,1.2M
335,Masako Tamaki,May 2021,36K,1.2M
336,Sarah Ellis and Helen Tupper,February 2021,47K,1.5M
337,Marianne Schwarz,May 2021,85K,2.8M
338,Nadya Bartol,April 2021,35K,1.1M
339,TED Audio Collective,May 2021,30K,1M
340,Yuko Munakata,April 2019,72K,2.4M
341,Simon Sinek,April 2021,56K,1.8M
342,Anu Puusa,April 2021,36K,1.2M
343,Orisanmi Burton,May 2021,6.2K,208K
344,June Tangney,April 2021,5K,169K
345,Amy Hrdina and Jesse Kroll,May 2021,8.7K,290K
346,Daniel Kraft,September 2020,40K,1.3M
347,Dominic Price,November 2020,52K,1.7M
348,Alex Gendler,May 2021,21K,712K
349,Sahaj Kaur Kohli,April 2021,37K,1.2M
350,Cory Combs,March 2021,40K,1.3M
351,Ilan Stavans,May 2021,10K,358K
352,Marcos Aguiar,April 2021,38K,1.2M
353,Grantly Galland and Raiana McKinney,May 2021,42K,1.4M
354,Rumaitha Al Busaidi,May 2021,39K,1.3M
355,Sara C. Mednick,April 2021,118K,3.9M
356,Adam Grant,April 2021,48K,1.6M
357,Angel Hsu,October 2020,10K,345K
358,Alex Gendler,April 2021,21K,724K
359,Tai Simpson,April 2019,34K,1.1M
360,Daniel J. Watts,November 2020,11K,385K
361,Dennis E. Shasha,April 2021,37K,1.2M
362,Miracle Jones,April 2021,74,2.4K
363,The TED Interview,April 2021,30K,1M
364,Rebecca J. Barthelmie and Sara C. Pryor,April 2021,13K,464K
365,John Marshall,March 2021,37K,1.2M
366,Lisa Genova,March 2021,64K,2.1M
367,Alex Gendler,April 2021,23K,770K
368,Justin Schmidt,April 2021,37K,1.2M
369,Kiran Mazumdar-Shaw,March 2021,16K,541K
370,Steven Allison,October 2020,38K,1.2M
371,David Gruber,June 2020,35K,1.1M
372,Alex Gendler,April 2021,66K,2.2M
373,Canwen Xu,April 2016,105K,3.5M
374,Joan C. Williams,December 2020,37K,1.2M
375,Megan McArthur,November 2020,38K,1.2M
376,Joseph Goffman,April 2021,65K,2.1M
377,Nomava Zanazo,April 2021,34K,1.1M
378,Erick Wilberding,April 2021,99K,3.3M
379,Kalika Bali,February 2020,39K,1.3M
380,Far Flung with Saleem Reshamwala,June 2020,28K,943K
381,Kristiina J. Hurme and Alejandro Rico-Guevara,April 2021,22K,766K
382,Jens Burchardt,April 2021,39K,1.3M
383,Esther Perel,March 2021,44K,1.4M
384, TED-Ed,April 2021,55K,1.8M
385,Katherine M. Gehl,December 2020,38K,1.2M
386,Elizabeth Cox,April 2021,24K,807K
387,Tim Nevius,November 2020,40K,1.3M
388,ZigZag,March 2021,34K,1.1M
389,Jacques S. Abramowicz,April 2021,8K,266K
390,Kate Lister,March 2020,41K,1.3M
391,Michael Levin,May 2020,16K,550K
392,Archie Crowley,October 2020,41K,1.3M
393,Kayla Wolf,March 2021,15K,510K
394,Brian A. Pavlac,March 2021,35K,1.1M
395,Andrew Youn,June 2020,5.5K,183K
396,TEDx SHORTS,June 2020,33K,1.1M
397,Dennis E. Shasha,March 2021,28K,949K
398,Amber McReynolds,August 2020,38K,1.2M
399,Caroline Catlin,November 2020,39K,1.3M
400,Kayla Wolf,March 2021,24K,830K
401,Natsai Audrey Chieza,March 2021,40K,1.3M
402, TED-Ed,March 2021,13K,459K
403,Bill Gates,March 2021,53K,1.7M
404,TED Radio Hour,July 2020,36K,1.2M
405,Neil R. Jeyasingam,March 2021,78K,2.6M
406,Tyler Dewitt,May 2020,49K,1.6M
407,Julia Dhar,March 2021,72K,2.4M
408, TED-Ed,March 2021,11K,372K
409,Emily Leproust,October 2020,38K,1.2M
410,Chase LaDue and Bruce A. Schulte,March 2021,7.4K,249K
411,Leslie Herod,December 2020,40K,1.3M
412,How to Be a Better Human,January 2021,38K,1.2M
413,Patty McCord,March 2021,52K,1.7M
414,Briana Brownell,March 2021,12K,400K
415,Antoine Gourévitch,October 2020,41K,1.3M
416,Knut Ivar Bjørlykhaug,November 2020,39K,1.3M
417, TED-Ed,March 2021,11K,376K
418,Lisa Krause,March 2021,34K,1.1M
419,Jodi-Ann Burey,November 2020,43K,1.4M
420,Taken for Granted,February 2021,742,24K
421,TED Business,February 2021,37K,1.2M
422,Sir Ken Robinson,March 2021,7.6K,254K
423,"Al Gore, Gloria Kasang Bulus, Nana Firman, Ximena Loría and Tim Guinee",October 2020,37K,1.2M
424,Elaine Fong,October 2017,42K,1.4M
425,Wendy De La Rosa,March 2021,15K,502K
426,Heather Malyuk,March 2021,18K,624K
427,Betty Hart,November 2020,46K,1.5M
428, TED-Ed,March 2021,61K,2M
429,William Collis,October 2020,43K,1.4M
430,Design Matters with Debbie Millman,June 2020,36K,1.2M
431,Karen L. Cox,February 2021,38K,1.2M
432,Kevin Roose,October 2020,40K,1.3M
433,Angela Mahecha Adrar,December 2020,37K,1.2M
434,Wendy De La Rosa,February 2021,7.5K,252K
435,Edwin Meyer,February 2021,33K,1.1M
436,Greg Anderson,February 2020,45K,1.5M
437, TED-Ed,February 2021,19K,658K
438,Sarah Kurnick,August 2020,50K,1.6M
439,Design Matters,July 2017,731,24K
440,Conversations with People Who Hate Me,April 2018,349,11K
441,John Kerry and Al Gore,February 2021,47K,1.5M
442,Lorenzo García-Amaya,February 2021,59K,1.9M
443,Olivia Arthur,October 2020,9.1K,304K
444,Cara Greene Epstein,June 2020,37K,1.2M
445,Wendy De La Rosa,February 2021,8.9K,298K
446, TED-Ed,February 2021,42K,1.4M
447,Max Hawkins,October 2017,50K,1.6M
448,Evan Zodl,February 2021,11K,375K
449,Carolyn Freiwald,February 2020,48K,1.6M
450,Bill Burnett,April 2017,98K,3.2M
451,Jamil Zaki,September 2017,6.5K,219K
452,'Gbenga Sesan,December 2020,42K,1.4M
453,Rahwa Ghirmatzion and Zelalem Adefris,October 2020,39K,1.3M
454,Wendy De La Rosa,February 2021,11K,380K
455,Matt Langione,October 2020,46K,1.5M
456,Thomas L. Dawson,February 2021,315K,10M
457,Melanie E. Peffer,February 2021,14K,484K
458,Karen Scrivener,October 2020,45K,1.5M
459,Angela Francis,December 2019,50K,1.6M
460,Carolyn Marshall,February 2021,50K,1.6M
461,Juan Enriquez,November 2020,48K,1.6M
462,Qiuqing Tai,October 2020,9.4K,314K
463,Wendy De La Rosa,February 2021,7K,233K
464,Moriba Jah,February 2021,9.9K,330K
465,Jack Dangermond,November 2020,39K,1.3M
466,Nick Caruso and Dani Rabaiotti,February 2021,49K,1.6M
467,R. Alan Brooks,August 2020,43K,1.4M
468,Jessica Garza,September 2020,53K,1.7M
469,Apiorkor Seyiram Ashong-Abbey,November 2020,178,5.9K
470,Arinjay Banerjee,January 2021,33K,1.1M
471,Rod Phillips,January 2021,16K,546K
472,Elizabeth Diller,November 2020,7.2K,240K
473,Nora Flanagan,June 2020,48K,1.6M
474,Wendy De La Rosa,January 2021,9K,301K
475,Nimisha Jain,October 2020,40K,1.3M
476,Iseult Gillespie,January 2021,22K,739K
477,Carlos Moreno,October 2020,42K,1.4M
478,Qi Wu 吴琪,November 2020,47,1.5K
479,Tawanda Kanhema,November 2020,40K,1.3M
480,Mostafa Minawi,January 2021,24K,801K
481,Tracy Young,November 2020,48K,1.6M
482,John Kitching,January 2021,48K,1.6M
483,Amanda Gorman,January 2021,4.3K,146K
484,Max Rashbrooke,November 2019,43K,1.4M
485,Wendy De La Rosa,January 2021,16K,538K
486,Mehret Mandefro,October 2020,40K,1.3M
487,His Holiness Pope Francis,October 2020,2.9K,99K
488,Su Santidad el Papa Francisco,October 2020,89,2.9K
489,Mainak Mazumdar,October 2020,42K,1.4M
490,Karen Eber,February 2020,54K,1.8M
491,Iseult Gillespie,January 2021,117K,3.9M
492,Betsy Kauffman,September 2020,45K,1.5M
493,Wendy De La Rosa,January 2021,13K,462K
494,Achim Steiner,December 2020,39K,1.3M
495,Bas Sudmeijer,October 2020,39K,1.3M
496,Robert Siddall,January 2021,48K,1.6M
497,Julia Gillard and Ngozi Okonjo-Iweala,November 2020,43K,1.4M
498,Jamila Gordon,November 2020,44K,1.4M
499,Madison McFerrin,November 2020,3K,101K
500,Soraya Field Fiorio,January 2021,23K,773K
501,Christine Carter,September 2020,69K,2.3M
502,Renee Montgomery,November 2020,41K,1.3M
503,Niro Sivanathan,May 2019,60K,2M
504,Yen Pham,January 2021,14K,484K
505,Tilak Mandadi,October 2020,41K,1.3M
506,A.J. Jacobs,January 2021,34K,1.1M
507,Tom Schuler,October 2020,45K,1.5M
508,Merve Emre,December 2020,28K,966K
509,Noah Charney,December 2020,20K,698K
510,TED Business,November 2020,36K,1.2M
511,Genevieve Bell,October 2020,57K,1.9M
512,Kemi DaSilva-Ibru,November 2020,41K,1.3M
513,Lucy Cooke,December 2020,9.5K,316K
514,Ajay Banga,October 2020,41K,1.3M
515,Emily Dickinson,December 2020,8.4K,282K
516,Anna Babel,February 2020,47K,1.5M
517,TEDx SHORTS,November 2019,40K,1.3M
518,Billy Samuel Mwape,September 2020,42K,1.4M
519,Matteo Fadel,December 2020,8.2K,275K
520,Angélique Parisot-Potter,November 2020,43K,1.4M
521,Jeremy Brewer,May 2020,49K,1.6M
522,Alex Gendler,December 2020,24K,810K
523,Sarah Brosnan,December 2020,44K,1.4M
524,Sakinah Hofler,February 2020,47K,1.5M
525,Alex Gendler,December 2020,55K,1.8M
526,Kluane Adamek,November 2020,40K,1.3M
527,Alex Rosenthal,December 2020,18K,626K
528,Mike O'Sullivan,May 2020,68K,2.2M
529,Myles Allen,October 2020,48K,1.6M
530,Emily Levesque,February 2020,11K,392K
531,Gwen Yi Wong,September 2020,406,13K
532,Jeff Dekofsky,December 2020,16K,538K
533,Rosalind G. Brewer,October 2020,47K,1.5M
534,Adie Delaney,November 2020,45K,1.5M
535,Iseult Gillespie,December 2020,59K,1.9M
536,Wale Elegbede,September 2020,43K,1.4M
537,Sharon Weinberger,November 2020,48K,1.6M
538,Eve Gaus and Vanessa Ruiz,November 2020,48K,1.6M
539,Yvonne Aki-Sawyerr,October 2020,44K,1.4M
540,Micah Eames,November 2020,6.5K,218K
541,Peggy Chan,October 2020,65,2.1K
542,Patrice Gordon,November 2020,10K,338K
543,Sophie Rose,November 2020,53K,1.7M
544,Andrew Pelling,June 2020,13K,464K
545,Luka Seamus Wright and Imogen Ellen Napper,November 2020,18K,628K
546,Cedric Habiyaremye,May 2020,43K,1.4M
547,Jo Michael Rezes,March 2020,8.4K,280K
548,Alex Gendler,November 2020,48K,1.6M
549,Johanna Benesty,October 2020,48K,1.6M
550,Kathy Mendias,September 2020,46K,1.5M
551,JayaShri Maathaa,November 2020,48K,1.6M
552,Far Flung,November 2020,39,1.3K
553,Seena Mathew,November 2020,26K,873K
554,Varun Sivaram,October 2020,45K,1.5M
555, Kesha,November 2020,17K,577K
556,Jennifer Petriglieri,November 2020,9K,300K
557,María Teresa Kumar,November 2020,40K,1.3M
558,Gloria Steinem,November 2020,49K,1.6M
559,Christian Moro,November 2020,26K,888K
560,Sviatlana Tsikhanouskaya,November 2020,48K,1.6M
561,Anja Blacha,October 2020,187,6.2K
562,JoAnne S. Bass,October 2020,483,16K
563,Richard Coffin,November 2020,20K,674K
564,Rebecca Henderson,October 2020,50K,1.6M
565,Erika Cheung,February 2020,56K,1.8M
566,Anees Bahji,November 2020,68K,2.2M
567,Rose M. Mutiso,October 2020,44K,1.4M
568,Gil Winch,November 2020,8K,266K
569,Seth Darling,October 2020,935,31K
570,Danielle Torley,September 2020,48K,1.6M
571,David L. Hu,November 2020,10K,351K
572,Sophie Howe,October 2020,52K,1.7M
573,Stephen Wilkes,October 2020,9.1K,303K
574,John Soluri,November 2020,67K,2.2M
575,Nisha Anand,February 2020,46K,1.5M
